legal_topic_mapping_id,language_code,source_id,legal_id,topic_id
1,EN,1,1,1
2,EN,2,9,1
3,EN,2,15,1
4,EN,2,26,1
5,EN,2,27,1
6,EN,2,28,1
7,EN,2,29,1
8,EN,2,30,1
9,EN,4,34,1
10,EN,6,35,1
11,EN,2,70,1
12,EN,2,4,2
13,EN,2,5,2
14,EN,2,6,2
15,EN,2,13,2
16,EN,2,14,2
17,EN,2,29,2
18,EN,4,32,2
19,EN,4,33,2
20,EN,4,34,2
21,EN,2,74,2
22,EN,2,15,3
23,EN,2,20,3
24,EN,2,25,3
25,EN,2,31,4
26,EN,6,35,4
27,EN,8,41,4
28,EN,8,42,4
29,EN,8,44,4
30,EN,8,45,4
31,EN,5,56,4
32,EN,5,63,4
33,EN,1,1,5
34,EN,2,2,5
35,EN,2,26,5
36,EN,2,31,5
37,EN,2,16,6
38,EN,2,22,6
39,EN,2,24,6
40,EN,5,47,7
41,EN,5,48,7
42,EN,5,50,7
43,EN,5,52,7
44,EN,5,55,7
45,EN,5,56,7
46,EN,5,59,7
47,EN,5,63,7
48,EN,5,38,8
49,EN,8,41,8
50,EN,8,42,8
51,EN,8,43,8
52,EN,8,44,8
53,EN,8,45,8
54,EN,5,46,8
55,EN,2,66,9
56,EN,2,69,9
57,EN,2,70,9
58,EN,2,71,9
59,EN,2,72,9
60,EN,2,73,9
61,EN,2,74,9
62,EN,2,31,10
63,EN,6,35,10
