state_code,migrant_number,risk_level,manuf_perc_in_state,const_perc_in_state,agric_percent_in_state
1,308190,High,55.43,15.01,10.60
2,34629,Low,56.12,12.96,6.58
3,6869,Low,27.54,4.12,2.97
4,48784,High,47.75,18.35,10.73
5,49299,Low,44.94,11.83,9.63
6,40899,High,12.89,9.31,27.21
7,130076,High,66.93,12.91,2.31
8,81448,High,49.41,7.80,8.62
9,2956,Low,27.88,4.67,17.08
10,527448,Low,39.37,21.93,6.06
11,8435,High,11.45,10.82,2.22
12,126533,Low,8.71,4.72,23.88
13,126389,High,21.93,16.18,5.27
14,256126,Low,9.65,36.53,7.00
15,2283,Low,1.05,21.11,18.70
16,7874,Low,0.17,7.15,6.83
