NAMA,NO_TEL,NO_FAKS,JENIS,TARIKH_DATA,NO,UNIT_TKT,BANGUNAN,JALAN,KG_TMN,BANDAR,POSKOD,DAERAH,NEGERI,X,Y
HOSPITAL SUNGAI BAKAP,04-5824333,04-5822494,HOSPITAL KERAJAAN,31/12/2013,NA,NA,NA,JALAN SUNGAI BAKAP,SUNGAI JAWI,SUNGAI BAKAP,14200,SPS,PULAU PINANG,100.4973373,5.21927309
HOSPITAL SEBERANG JAYA,04-3827333,04-3970754,HOSPITAL KERAJAAN,17/02/2021,NA,NA,NA,JALAN TUN HUSSEIN ONN,NA,SEBERANG JAYA,13700,SPT,PULAU PINANG,100.4082031,5.394414902
HOSPITAL PULAU PINANG,04-2225333,04-2281737,HOSPITAL KERAJAAN,07/10/2022,NA,NA,NA,JALAN RESIDENSI,NA,GEORGE TOWN,10990,DTL,PULAU PINANG,100.3106842,5.41641283
HOSPITAL BALIK PULAU,04-8669333,04-8666058,HOSPITAL KERAJAAN,17/02/2021,NA,NA,NA,JALAN HOSPITAL,NA,BALIK PULAU,11000,DBD,PULAU PINANG,100.2334671,5.35054636
HOSPITAL BUKIT MERTAJAM,04-5497333,04-5497299,HOSPITAL KERAJAAN,31/12/2013,NA,NA,NA,JALAN KULIM,NA,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4646301,5.35986948
HOSPITAL KEPALA BATAS,04-5793333,04-5791088,HOSPITAL KERAJAAN,17/02/2021,NA,NA,NA,JALAN BERTAM,NA,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4376678,5.511690617
KLINIK KESIHATAN PRAI,04-3901477,04-5374595,KLINIK KESIHATAN,13/10/2022,NA,NA,NA,NA,NA,PRAI,13700,SPT,PULAU PINANG,100.388092,5.383778095
KLINIK DESA PERMATANG TINGGI,04-5884202,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG TINGGI,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4794235,5.298258305
KLINIK DESA KUBANG ULU,04-5214980,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,KUBANG ULU,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4822159,5.408538818
KLINIK DESA PERMATANG PAUH,04-3981380,04-5374595,KLINIK DESA,13/10/2022,NA,NA,NA,JALAN SAMA GAGAH,NA,BUKIT MERTAJAM,13500,SPT,PULAU PINANG,100.4125443,5.41138649
KLINIK KESIHATAN IBU DAN ANAK BUKIT MERTAJAM,04-5382389,TIADA,KLINIK KESIHATAN IBU DAN ANAK,31/12/2013,NA,NA,NA,JALAN KULIM,NA,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4649277,5.35941124
KLINIK KESIHATAN BUKIT PANCHOR,04-5931679,04-5939086,KLINIK KESIHATAN,13/10/2022,LOT 1866,NA,NA,JALAN BUKIT PANCHOR,"MUKIM 7, BUKIT PANCHOR",NIBONG TEBAL,14300,SPS,PULAU PINANG,100.4927979,5.166556835
KLINIK DESA ALMA,04-5516064,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,ALMA,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4732285,5.332085133
KLINIK DESA JURU,04-5086500,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,KAMPUNG JURU,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4434128,5.315704823
KLINIK DESA KAMPUNG SEKOLAH,04-5079458,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,"KAMPUNG SEKOLAH, JURU",BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.421524,5.316015244
KLINIK DESA BUKIT TENGAH,04-5372342,04-5374595,KLINIK DESA,13/10/2022,NA,NA,NA,JALAN PERMATANG PAUH,BUKIT TENGAH,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4291687,5.364247799
KLINIK DESA KAMPUNG PERTAMA,04-3982281,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,JALAN PERMATANG PAUH,KAMPUNG PERTAMA,BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4180603,5.392091751
KLINIK KESIHATAN MACHANG BUBOK,04-5511930,TIADA,KLINIK KESIHATAN,14/07/2020,NA,NA,NA,NA,MACANG BUBOK,BUKIT MERTAJAM,14020,SPT,PULAU PINANG,100.5090179,5.336361885
